"metric","value"
"records_frequency",85332
"records_severity",18673
"total_exposure",42740.4814732284
"expected_claim_count_portfolio",35221.5030902476
"var_claim_count_portfolio",152305.333384097
"theta_model",0.150403001952755
"theta_effective",10595.4364221162
"sev_shape",0.606246960421346
"sev_scale",720360.942246332
"mean_severity",436716.631643095
"expected_annual_cost",15382229485.9018
"annual_pure_premium",15382229485.9018
"annual_technical_premium",25637049143.1697
"pure_premium_rate_per_exposure",359898.366974104
"technical_premium_rate_per_exposure",599830.611623506
"expense_ratio",0.3
"profit_ratio",0.07
"risk_ratio",0.05
"tail_threshold_95",1493719.4
"tail_probability",0.0500187436405505
"gpd_shape",0.33271656758044
"gpd_scale",708763.309832983
"gold_platinum_severity_share",0
